Date time,Solar (kW)
2020-11-25T00:00:00.000-08:00,0
2020-11-25T00:15:00.000-08:00,0
2020-11-25T00:30:00.000-08:00,0
2020-11-25T00:45:00.000-08:00,0
2020-11-25T01:00:00.000-08:00,0
2020-11-25T01:15:00.000-08:00,0
2020-11-25T01:30:00.000-08:00,0
2020-11-25T01:45:00.000-08:00,0
2020-11-25T02:00:00.000-08:00,0
2020-11-25T02:15:00.000-08:00,0
2020-11-25T02:30:00.000-08:00,0
2020-11-25T02:45:00.000-08:00,0
2020-11-25T03:00:00.000-08:00,0
2020-11-25T03:15:00.000-08:00,0
2020-11-25T03:30:00.000-08:00,0
2020-11-25T03:45:00.000-08:00,0
2020-11-25T04:00:00.000-08:00,0
2020-11-25T04:15:00.000-08:00,0
2020-11-25T04:30:00.000-08:00,0
2020-11-25T04:45:00.000-08:00,0
2020-11-25T05:00:00.000-08:00,0
2020-11-25T05:15:00.000-08:00,0
2020-11-25T05:30:00.000-08:00,0
2020-11-25T05:45:00.000-08:00,0
2020-11-25T06:00:00.000-08:00,0
2020-11-25T06:15:00.000-08:00,0
2020-11-25T06:30:00.000-08:00,0
2020-11-25T06:45:00.000-08:00,0
2020-11-25T07:00:00.000-08:00,0
2020-11-25T07:15:00.000-08:00,0.2
2020-11-25T07:30:00.000-08:00,0.2
2020-11-25T07:45:00.000-08:00,0.7
2020-11-25T08:00:00.000-08:00,1
2020-11-25T08:15:00.000-08:00,1.1
2020-11-25T08:30:00.000-08:00,1.3
2020-11-25T08:45:00.000-08:00,1.4
2020-11-25T09:00:00.000-08:00,1.6
2020-11-25T09:15:00.000-08:00,1.7
2020-11-25T09:30:00.000-08:00,1.8
2020-11-25T09:45:00.000-08:00,1.1
2020-11-25T10:00:00.000-08:00,1.2
2020-11-25T10:15:00.000-08:00,0.9
2020-11-25T10:30:00.000-08:00,0.8
2020-11-25T10:45:00.000-08:00,0.9
2020-11-25T11:00:00.000-08:00,1
2020-11-25T11:15:00.000-08:00,1.1
2020-11-25T11:30:00.000-08:00,1.3
2020-11-25T11:45:00.000-08:00,1.7
2020-11-25T12:00:00.000-08:00,2.2
2020-11-25T12:15:00.000-08:00,2.2
2020-11-25T12:30:00.000-08:00,2.2
2020-11-25T12:45:00.000-08:00,2.1
2020-11-25T13:00:00.000-08:00,2
2020-11-25T13:15:00.000-08:00,1.9
2020-11-25T13:30:00.000-08:00,1.7
2020-11-25T13:45:00.000-08:00,1.5
2020-11-25T14:00:00.000-08:00,1.4
2020-11-25T14:15:00.000-08:00,1.2
2020-11-25T14:30:00.000-08:00,1
2020-11-25T14:45:00.000-08:00,0.8
2020-11-25T15:00:00.000-08:00,0.7
2020-11-25T15:15:00.000-08:00,0.5
2020-11-25T15:30:00.000-08:00,0.4
2020-11-25T15:45:00.000-08:00,0.2
2020-11-25T16:00:00.000-08:00,0.1
2020-11-25T16:15:00.000-08:00,0
2020-11-25T16:30:00.000-08:00,0
2020-11-25T16:45:00.000-08:00,0
2020-11-25T17:00:00.000-08:00,0
2020-11-25T17:15:00.000-08:00,0
2020-11-25T17:30:00.000-08:00,0
2020-11-25T17:45:00.000-08:00,0
2020-11-25T18:00:00.000-08:00,0
2020-11-25T18:15:00.000-08:00,0
2020-11-25T18:30:00.000-08:00,0
2020-11-25T18:45:00.000-08:00,0
2020-11-25T19:00:00.000-08:00,0
2020-11-25T19:15:00.000-08:00,0
2020-11-25T19:30:00.000-08:00,0
2020-11-25T19:45:00.000-08:00,0
2020-11-25T20:00:00.000-08:00,0
2020-11-25T20:15:00.000-08:00,0
2020-11-25T20:30:00.000-08:00,0
2020-11-25T20:45:00.000-08:00,0
2020-11-25T21:00:00.000-08:00,0
2020-11-25T21:15:00.000-08:00,0
2020-11-25T21:30:00.000-08:00,0
2020-11-25T21:45:00.000-08:00,0
2020-11-25T22:00:00.000-08:00,0
2020-11-25T22:15:00.000-08:00,0
2020-11-25T22:30:00.000-08:00,0
2020-11-25T22:45:00.000-08:00,0
2020-11-25T23:00:00.000-08:00,0
2020-11-25T23:15:00.000-08:00,0
2020-11-25T23:30:00.000-08:00,0
2020-11-25T23:45:00.000-08:00,0
